Date,Close,Open,High,Low,Change
"July 19, 2009",1.4205,1.4117,1.4294,1.411,0.75
"July 26, 2009",1.425,1.4228,1.4306,1.4008,0.32
"August 02, 2009",1.4188,1.4269,1.4449,1.4155,-0.44
"August 09, 2009",1.4205,1.4176,1.433,1.4085,0.12
"August 16, 2009",1.4323,1.4188,1.4378,1.4047,0.83
"August 23, 2009",1.4299,1.4344,1.4407,1.4207,-0.17
"August 30, 2009",1.4293,1.4308,1.438,1.4178,-0.04
"September 06, 2009",1.457,1.4311,1.4637,1.4303,1.94
"September 13, 2009",1.471,1.4598,1.4769,1.4517,0.96
"September 20, 2009",1.4688,1.469,1.4844,1.4607,-0.15
"September 27, 2009",1.4572,1.47,1.4723,1.4482,-0.79
"October 04, 2009",1.473,1.4593,1.482,1.4582,1.08
"October 11, 2009",1.4906,1.4725,1.497,1.4678,1.19
"October 18, 2009",1.5003,1.4895,1.5063,1.483,0.65
"October 25, 2009",1.4718,1.5001,1.5064,1.4684,-1.9
"November 01, 2009",1.4849,1.4714,1.4919,1.4625,0.89
"November 08, 2009",1.4917,1.4887,1.5051,1.4822,0.46
"November 15, 2009",1.4861,1.4924,1.5017,1.4798,-0.38
"November 22, 2009",1.4967,1.486,1.5146,1.4828,0.71
"November 29, 2009",1.4851,1.501,1.5141,1.4819,-0.78
"December 06, 2009",1.4623,1.4853,1.4907,1.4585,-1.54
"December 13, 2009",1.4343,1.4625,1.4686,1.4259,-1.91
"December 20, 2009",1.4397,1.4305,1.4436,1.4217,0.38
"December 27, 2009",1.4326,1.4378,1.4461,1.4274,-0.49
"January 03, 2010",1.4413,1.4324,1.4484,1.4257,0.61
"January 10, 2010",1.4385,1.4433,1.4585,1.4338,-0.19
"January 17, 2010",1.4138,1.4339,1.4414,1.4026,-1.72
"January 24, 2010",1.3864,1.416,1.4198,1.3861,-1.94
"January 31, 2010",1.3664,1.3864,1.4028,1.3586,-1.44
"February 07, 2010",1.3618,1.3666,1.3841,1.3532,-0.34
"February 14, 2010",1.3615,1.3613,1.379,1.3443,-0.02
"February 21, 2010",1.3626,1.3638,1.3693,1.3451,0.08
"February 28, 2010",1.3622,1.3625,1.3737,1.3433,-0.03
"March 07, 2010",1.3763,1.363,1.3798,1.3535,1.04
"March 14, 2010",1.3534,1.3777,1.382,1.3502,-1.66
"March 21, 2010",1.3413,1.3527,1.3572,1.3268,-0.89
"March 28, 2010",1.3504,1.3488,1.3593,1.3384,0.68
"April 04, 2010",1.3499,1.3491,1.3541,1.3281,-0.04
"April 11, 2010",1.3499,1.3623,1.3694,1.3473,0
"April 18, 2010",1.3386,1.348,1.3525,1.3202,-0.84
"April 25, 2010",1.3298,1.3347,1.3416,1.3115,-0.66
"May 02, 2010",1.2762,1.3343,1.3343,1.2523,-4.03
"May 09, 2010",1.2363,1.2935,1.3096,1.2355,-3.13
"May 16, 2010",1.2573,1.2352,1.2675,1.2145,1.7
"May 23, 2010",1.227,1.2548,1.2562,1.2155,-2.41
"May 30, 2010",1.1976,1.2276,1.2356,1.1956,-2.4
"June 06, 2010",1.2113,1.1948,1.2155,1.1878,1.14
"June 13, 2010",1.2387,1.2127,1.2419,1.2116,2.26
"June 20, 2010",1.2377,1.244,1.247,1.221,-0.08
"June 27, 2010",1.2563,1.2374,1.2616,1.2152,1.5
"July 04, 2010",1.2637,1.2559,1.2725,1.2481,0.59
"July 11, 2010",1.2933,1.2642,1.301,1.2523,2.34
"July 18, 2010",1.2907,1.2896,1.3031,1.2733,-0.2
"July 25, 2010",1.3048,1.2903,1.3109,1.2877,1.09
"August 01, 2010",1.3285,1.3063,1.3336,1.3054,1.82
"August 08, 2010",1.2752,1.3292,1.331,1.275,-4.01
"August 15, 2010",1.2708,1.2761,1.2926,1.2664,-0.35
"August 22, 2010",1.2765,1.2706,1.2781,1.2587,0.45
"August 29, 2010",1.2896,1.2768,1.29,1.2626,1.03
"September 05, 2010",1.268,1.289,1.2921,1.2645,-1.67
"September 12, 2010",1.3048,1.2709,1.3162,1.2704,2.9
"September 19, 2010",1.3491,1.3055,1.3498,1.3028,3.4
"September 26, 2010",1.3792,1.3482,1.3796,1.3383,2.23
"October 03, 2010",1.3943,1.3793,1.4031,1.3638,1.09
"October 10, 2010",1.3979,1.3995,1.416,1.3774,0.26
"October 17, 2010",1.3952,1.3977,1.4053,1.3699,-0.19
"October 24, 2010",1.395,1.3958,1.4083,1.3735,-0.01
"October 31, 2010",1.4034,1.3964,1.4284,1.3863,0.6
"November 07, 2010",1.3693,1.4053,1.4087,1.3573,-2.43
"November 14, 2010",1.3687,1.3712,1.3752,1.3449,-0.04
"November 21, 2010",1.3243,1.3717,1.3789,1.3199,-3.24
"November 28, 2010",1.3415,1.3285,1.3418,1.2965,1.3
"December 05, 2010",1.3234,1.3383,1.3422,1.3164,-1.35
"December 12, 2010",1.3182,1.3207,1.35,1.3133,-0.39
"December 19, 2010",1.3118,1.3182,1.3205,1.3056,-0.49
"December 26, 2010",1.3379,1.3116,1.3427,1.3073,1.99
"January 02, 2011",1.2919,1.3348,1.3436,1.2906,-3.44
"January 09, 2011",1.3377,1.2882,1.3458,1.2873,3.55
"January 16, 2011",1.3618,1.3384,1.3629,1.3246,1.8
"January 23, 2011",1.3613,1.3638,1.376,1.3537,-0.04
"January 30, 2011",1.3586,1.3599,1.3862,1.3542,-0.2
"February 06, 2011",1.3549,1.3564,1.3747,1.3498,-0.27
"February 13, 2011",1.3697,1.351,1.3718,1.3428,1.09
"February 20, 2011",1.3751,1.3702,1.3838,1.3525,0.39
"February 27, 2011",1.3985,1.3759,1.4009,1.3712,1.7
"March 06, 2011",1.391,1.3998,1.404,1.3752,-0.54
"March 13, 2011",1.4179,1.3964,1.4187,1.3855,1.93
"March 20, 2011",1.4084,1.4184,1.4252,1.4052,-0.67
"March 27, 2011",1.4231,1.4048,1.4248,1.4022,1.04
"April 03, 2011",1.4481,1.4226,1.4491,1.4152,1.76
"April 10, 2011",1.4432,1.4456,1.4523,1.4365,-0.34
"April 17, 2011",1.4556,1.4418,1.465,1.4156,0.86
"April 24, 2011",1.4802,1.4561,1.4884,1.4495,1.69
"May 01, 2011",1.431,1.4825,1.4941,1.431,-3.32
"May 08, 2011",1.4121,1.437,1.4444,1.4067,-1.32
"May 15, 2011",1.4155,1.4081,1.4348,1.4049,0.24
"May 22, 2011",1.4324,1.4132,1.4325,1.3971,1.19
"May 29, 2011",1.4637,1.4315,1.4645,1.4257,2.19
"June 05, 2011",1.4348,1.463,1.4699,1.4323,-1.97
"June 12, 2011",1.4311,1.4331,1.4501,1.4074,-0.26
"June 19, 2011",1.4193,1.4275,1.4444,1.4128,-0.82
"June 26, 2011",1.4525,1.4193,1.4554,1.4104,2.34
"July 03, 2011",1.427,1.4543,1.458,1.4207,-1.76
